"t","x","y","z"
3.298469667E0,8.751850433E0,-8.433462524E-1,4.275109863E0
3.308546667E0,8.740025024E0,-8.910969543E-1,4.233795776E0
3.318622667E0,8.772806854E0,-9.147477722E-1,4.178560638E0
3.328698667E0,8.805438995E0,-9.151968384E-1,4.159550171E0
3.338775667E0,8.837771759E0,-8.822653198E-1,4.172124023E0
3.348851667E0,8.865015106E0,-8.481362915E-1,4.176015930E0
3.358927667E0,8.884774017E0,-8.045768738E-1,4.161196747E0
3.369004667E0,8.875493317E0,-7.794291687E-1,4.190685425E0
3.379080667E0,8.867260437E0,-7.888595581E-1,4.181853790E0
3.389156667E0,8.830137634E0,-7.993377686E-1,4.197720795E0
3.399233667E0,8.793314209E0,-8.054750061E-1,4.185446320E0
3.409309667E0,8.773255920E0,-8.107141113E-1,4.187541962E0
3.419385667E0,8.767867126E0,-7.958949280E-1,4.212240601E0
3.429461667E0,8.797206116E0,-7.794291687E-1,4.239633636E0
3.439538667E0,8.837921448E0,-7.631130981E-1,4.257596283E0
3.449614667E0,8.868607635E0,-7.662565613E-1,4.237687683E0
3.459690667E0,8.885522461E0,-7.970924377E-1,4.219425659E0
3.469767667E0,8.860524445E0,-8.062234497E-1,4.215833130E0
3.479843667E0,8.834328918E0,-8.243357849E-1,4.207749939E0
3.489919667E0,8.829089813E0,-8.065228271E-1,4.186793518E0
3.499996667E0,8.824150085E0,-7.717950439E-1,4.164639587E0
3.510072667E0,8.834478607E0,-7.285350037E-1,4.160597992E0
3.520148667E0,8.851543121E0,-6.965016174E-1,4.153862000E0
3.530225667E0,8.889114990E0,-6.867718506E-1,4.155508575E0
3.540301667E0,8.900641022E0,-6.888674927E-1,4.144132233E0
3.550377667E0,8.892258453E0,-6.833290100E-1,4.126169586E0
3.560454667E0,8.882378998E0,-6.509962463E-1,4.098327484E0
3.570530667E0,8.865613861E0,-6.264472961E-1,4.079766083E0
3.580606667E0,8.836574249E0,-6.030958557E-1,4.111350403E0
3.590683667E0,8.828041992E0,-5.715115356E-1,4.163442078E0
3.600759667E0,8.833131409E0,-5.490582275E-1,4.216731262E0
3.610835667E0,8.856183472E0,-5.092410278E-1,4.235741730E0
3.620912667E0,8.896749115E0,-4.917274475E-1,4.209097137E0
3.630988667E0,8.898246002E0,-5.532495117E-1,4.192481689E0
3.641064667E0,8.877139893E0,-6.530918884E-1,4.234095154E0
3.651141667E0,8.852890320E0,-7.155120850E-1,4.228107605E0
3.661217667E0,8.898246002E0,-7.557783508E-1,4.181255035E0
3.671293667E0,8.926387482E0,-7.743397522E-1,4.118834839E0
3.681369667E0,8.942853241E0,-7.454498291E-1,4.065695343E0
3.691446667E0,8.944948883E0,-7.538323975E-1,4.062551880E0
3.701522667E0,8.936566315E0,-7.539820862E-1,4.040098572E0
3.711598667E0,8.886869659E0,-8.023315430E-1,4.030069427E0
3.721675667E0,8.826545105E0,-9.017248535E-1,4.068838806E0
3.731751667E0,8.837771759E0,-1.003513184E0,4.045637054E0
3.741827667E0,8.925040283E0,-1.045426025E0,4.002826080E0
3.751904667E0,9.036857758E0,-1.070124664E0,3.955674133E0
3.761980667E0,9.065597992E0,-1.095422058E0,3.914958801E0
3.772056667E0,9.024882660E0,-1.103505249E0,3.902534637E0
3.782133667E0,8.945248260E0,-1.116977234E0,3.913312225E0
3.792209667E0,8.841513977E0,-1.102607117E0,3.949536896E0
3.802285667E0,8.773405609E0,-1.068478088E0,4.021088104E0
3.812362667E0,8.783434753E0,-1.012943573E0,4.035907288E0
3.822438667E0,8.862769775E0,-8.969348145E-1,4.034111023E0
3.832514667E0,8.931027832E0,-7.890092468E-1,4.034709778E0
3.842588042E0,8.966204681E0,-7.237449646E-1,4.031266937E0
3.852664042E0,8.934021606E0,-6.388714600E-1,4.038002930E0
3.862740042E0,8.873397675E0,-5.818400574E-1,4.065246277E0
3.872817042E0,8.823850708E0,-5.528004456E-1,4.118385773E0
3.882893042E0,8.777596893E0,-5.355862427E-1,4.162993011E0
3.892969042E0,8.729546814E0,-4.983137512E-1,4.201013947E0
3.903045042E0,8.708291016E0,-4.733157349E-1,4.199666748E0
3.913122042E0,8.680149536E0,-4.480183411E-1,4.193828888E0
3.923198042E0,8.657546539E0,-4.824467468E-1,4.184398499E0
3.933274042E0,8.654403076E0,-5.445675659E-1,4.178710327E0
3.943351042E0,8.660091248E0,-5.971083069E-1,4.159699860E0
3.953427042E0,8.669222260E0,-6.477030945E-1,4.208199005E0
3.963503042E0,8.681047668E0,-6.506968689E-1,4.276457062E0
3.973580042E0,8.661588135E0,-6.279441833E-1,4.328548737E0
3.983656042E0,8.611891479E0,-5.761518860E-1,4.340523834E0
3.993732042E0,8.570128326E0,-4.830455017E-1,4.359384613E0
4.003809042E0,8.546178131E0,-3.688330078E-1,4.385729828E0
4.013885042E0,8.589737549E0,-2.859054565E-1,4.395160217E0
4.023961042E0,8.656349030E0,-1.954934692E-1,4.376149750E0
4.034038042E0,8.721613312E0,-9.430389404E-2,4.351451111E0
4.044114042E0,8.788973236E0,-3.951782227E-2,4.334835663E0
4.054190042E0,8.854686584E0,-1.945953369E-2,4.327650604E0
4.064267042E0,8.870703278E0,-7.589218140E-2,4.275708618E0
4.074343042E0,8.840915222E0,-1.547781372E-1,4.236789551E0
4.084419042E0,8.811576233E0,-2.942880249E-1,4.180805969E0
4.094496042E0,8.785530396E0,-4.929249573E-1,4.149071960E0
