"t","x","y","z"
3.333736667E0,-6.074856501E-3,-4.946795106E-2,-1.308877487E-3
3.343813667E0,-1.331468578E-3,-4.891543090E-2,4.396275152E-3
3.353889667E0,7.311496884E-4,-3.747688979E-2,5.810946692E-3
3.363965667E0,8.687356487E-3,-3.225545585E-2,1.135848276E-2
3.374042667E0,1.320514362E-2,-2.757122368E-2,1.821079664E-2
3.384118667E0,2.001170814E-2,-2.056182548E-2,2.278267592E-2
3.394194667E0,2.265116759E-2,-1.547092758E-2,2.790739760E-2
3.404271667E0,2.749823220E-2,-1.269290969E-2,2.937827073E-2
3.414347667E0,2.989800461E-2,-1.475845743E-2,3.007868491E-2
3.424423667E0,3.075118363E-2,-1.124322042E-2,2.970834076E-2
3.434500667E0,3.187610582E-2,-8.331053890E-3,2.833255008E-2
3.444576667E0,3.298705816E-2,-2.306560986E-3,2.995849587E-2
3.454652667E0,3.819433600E-2,5.991848651E-3,3.296041489E-2
3.464729667E0,4.350119084E-2,1.181124523E-2,3.485182673E-2
3.474805667E0,4.738834128E-2,1.318357233E-2,3.505529463E-2
3.484881667E0,5.418613181E-2,1.482460555E-2,4.113283008E-2
3.494958667E0,5.825650319E-2,1.623980887E-2,4.428042099E-2
3.505034667E0,5.816839263E-2,1.085773949E-2,4.985135049E-2
3.515110667E0,6.217511371E-2,1.092085615E-2,5.617875606E-2
3.525187667E0,6.360072643E-2,1.102402806E-2,6.063747779E-2
3.535263667E0,6.461379677E-2,1.722093672E-2,6.211553141E-2
3.545339667E0,6.382835656E-2,1.977468468E-2,6.449583173E-2
3.555415667E0,6.500627100E-2,2.219043858E-2,5.979801714E-2
3.565492667E0,6.265883893E-2,2.518035658E-2,5.673605576E-2
3.575568667E0,5.942656100E-2,1.896347292E-2,5.478555709E-2
3.585644667E0,5.141984671E-2,1.516606472E-2,4.683169723E-2
3.595721667E0,4.533452168E-2,9.535609744E-3,4.311871901E-2
3.605797667E0,3.868035227E-2,5.273922347E-3,4.141557217E-2
3.615873667E0,3.203177080E-2,3.057106864E-3,3.993192315E-2
3.625950667E0,2.720971406E-2,-2.395667136E-3,3.753590211E-2
3.636026667E0,2.349806577E-2,-3.454539925E-3,3.848025948E-2
3.646102667E0,2.687985823E-2,-1.195305493E-3,4.311763495E-2
3.656179667E0,3.065701947E-2,-3.038745839E-3,4.159510508E-2
3.666255667E0,3.359921649E-2,-5.352191627E-3,4.168269038E-2
3.676331667E0,3.348629922E-2,-6.815598346E-3,4.034950957E-2
3.686408667E0,3.279657662E-2,4.107038840E-4,4.374005646E-2
3.696484667E0,3.960308433E-2,1.731245592E-2,5.030607805E-2
3.706560667E0,4.481190443E-2,2.909289487E-2,5.473029613E-2
3.716637667E0,4.961198568E-2,2.430319972E-2,6.564100087E-2
3.726713667E0,5.948085710E-2,1.901176386E-2,7.489921898E-2
3.736789667E0,7.567314059E-2,1.463991776E-2,7.630003989E-2
3.746866667E0,9.136925638E-2,2.662293427E-2,7.834751904E-2
3.756942667E0,1.117336527E-1,5.066755041E-2,7.966737449E-2
3.767018667E0,1.287737638E-1,7.018664479E-2,8.416959643E-2
3.777095667E0,1.418163329E-1,7.929865271E-2,8.952388167E-2
3.787171667E0,1.485764384E-1,7.537629455E-2,9.266445786E-2
3.797247667E0,1.530873030E-1,6.500434875E-2,9.098453075E-2
3.807323667E0,1.578488797E-1,5.230407044E-2,9.116137773E-2
3.817400667E0,1.639813334E-1,3.681352735E-2,9.301121533E-2
3.827476667E0,1.651226729E-1,2.433191799E-2,9.144493937E-2
